,City,Date,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
0,verkhnevilyuysk,1546908584,63.45,120.31,-13.08,60.0,56.0,2.73
1,havelock,1546905480,34.88,-76.9,48.47,86.0,40.0,8.05
2,busselton,1546908584,-33.64,115.35,62.97,100.0,12.0,19.84
3,chokurdakh,1546908585,70.62,147.9,-31.26,53.0,32.0,2.95
4,pangnirtung,1546908585,66.15,-65.72,-25.23,38.0,8.0,6.76
5,la rioja,1546908585,-29.41,-66.86,73.82,77.0,0.0,3.62
6,attawapiskat,,,,,,,
7,san cristobal,1546905600,-0.39,-78.55,55.4,93.0,75.0,2.24
8,mbandaka,1546908586,0.05,18.26,72.96,99.0,0.0,1.95
9,albany,1546906620,42.65,-73.75,19.49,40.0,90.0,4.7
10,hofn,1546908586,64.25,-15.21,36.29,100.0,8.0,6.53
11,marsabit,1546908587,2.34,37.99,67.88,68.0,80.0,2.39
12,qaanaaq,1546908587,77.48,-69.36,-12.32,96.0,8.0,11.68
13,talnakh,1546908587,69.49,88.39,1.19,69.0,48.0,3.62
14,hualmay,1546908587,-11.1,-77.61,69.81,80.0,0.0,3.74
15,mataura,1546908588,-46.19,168.86,64.86,59.0,48.0,16.49
16,pestovo,1546907400,55.36,37.98,11.62,85.0,90.0,8.95
17,soria,1546908362,41.76,-2.46,14.82,74.0,0.0,2.17
18,mecca,1546908301,21.43,39.83,55.73,74.0,12.0,4.18
19,gat,1546905600,14.69,-16.54,68.95,37.0,48.0,7.2
20,ushuaia,1546905600,-54.81,-68.31,42.8,87.0,75.0,8.05
21,rio gallegos,1546905600,-51.62,-69.22,48.2,66.0,40.0,12.75
22,altay,1546908589,47.83,88.13,-21.41,25.0,0.0,2.06
23,yarada,1546907400,17.65,83.27,59.0,93.0,0.0,2.24
24,atuona,1546908589,-9.8,-139.03,81.47,100.0,92.0,15.48
25,tarakan,1546905600,3.3,117.63,78.8,88.0,75.0,4.7
26,meulaboh,1546908590,4.14,96.13,78.9,100.0,44.0,4.52
27,tasiilaq,1546905000,65.61,-37.64,24.8,49.0,92.0,19.46
28,nikolskoye,1546907400,59.7,30.79,28.4,92.0,75.0,4.47
